Year,Land_Annual,Lowess(5),Ocean_Annual,Lowess(5)
2002,0.98,0.83,0.42,0.38
2003,0.88,0.87,0.44,0.40
2004,0.75,0.91,0.43,0.41
2005,1.06,0.92,0.43,0.41
2006,0.90,0.93,0.43,0.41
2007,1.13,0.94,0.34,0.41
2008,0.80,0.95,0.33,0.40
2009,0.88,0.94,0.47,0.40
2010,1.06,0.94,0.47,0.41
2011,0.91,0.95,0.35,0.44
2012,0.90,0.99,0.42,0.47
2013,0.99,1.04,0.46,0.51
2014,1.00,1.10,0.55,0.55
2015,1.24,1.16,0.68,0.58
2016,1.41,1.22,0.70,0.62
2017,1.33,1.28,0.64,0.65
2018,1.18,1.35,0.60,0.68
